week_day,day,bicycle_flux,cargo_bicycle_flux,moped_flux,scooter_flux,id,bicycle_min,bicycle_max,bicycle_diff,cargo_bicycle_min,cargo_bicycle_max,cargo_bicycle_diff,moped_min,moped_max,moped_diff,scooter_min,scooter_max,scooter_diff,bicycle_avg,cargo_bicycle_avg,moped_avg,scooter_avg,nearest_train_station_name_walking,nearest_train_station_distance_walking,nearest_metro_station_name_walking,nearest_metro_station_distance_walking,nearest_train_station_name_bicycling,nearest_train_station_distance_bicycling,nearest_metro_station_name_bicycling,nearest_metro_station_distance_bicycling,nearest_train_station_name_driving,nearest_train_station_distance_driving,nearest_metro_station_name_driving,nearest_metro_station_distance_driving,nearest_train_station_name_transit,nearest_train_station_distance_transit,nearest_metro_station_name_transit,nearest_metro_station_distance_transit,population,highest_percentage_age,predicted_mean_disposable_household_income
sunday,0,0.0,0.0,7.0,0.0,De Punt_0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.875,0.0,Amsterdam Lelylaan Station,3899,Station Lelylaan,3804,Amsterdam Lelylaan Station,4171,Station Lelylaan,3943,Amsterdam Lelylaan Station,4955,Station Lelylaan,4521,Amsterdam Lelylaan Station,4079,Station Lelylaan,4030.0,6334.0,27 - 65 years (%),41418.7
sunday,0,27.0,0.0,26.0,0.0,De Weteringschans_0,16.0,22.0,6.0,0.0,0.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,18.875,0.0,2.6666666666666665,0.0,Amsterdam Centraal Station,2287,Vijzelgracht,124,Amsterdam Centraal Station,2532,Vijzelgracht,258,Amsterdam Muiderpoort Station,3604,Vijzelgracht,1120,Amsterdam Centraal Station,2540,Vijzelgracht,124.0,7554.0,27 - 65 years (%),56162.1
sunday,0,0.0,0.0,0.0,0.0,Driemond_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amsterdam Holendrecht Station,5249,Gaasperplas,2828,Amsterdam Holendrecht Station,5428,Gaasperplas,2882,Amsterdam Bijlmer ArenA Station,7092,Gaasperplas,3154,Amsterdam Bijlmer ArenA Station,7443,Gaasperplas,2897.0,1689.0,27 - 65 years (%),52914.4
sunday,0,8.0,0.0,16.0,0.0,Elzenhagen_0,1.0,5.0,4.0,0.0,0.0,0.0,19.0,23.0,4.0,0.0,0.0,0.0,2.8333333333333335,0.0,21.625,0.0,Amsterdam Centraal Station,3983,Noord,1022,Amsterdam Centraal Station,4056,Noord,1615,Amsterdam Muiderpoort Station,11650,Noord,1989,Amsterdam Centraal Station,3807,Noord,1022.0,5261.0,27 - 65 years (%),58212.3
sunday,0,0.0,0.0,40.0,0.0,Erasmuspark_0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,0.0,0.0,0.0,1.0,0.0,9.791666666666666,0.0,Amsterdam Sloterdijk Station,2333,Jan van Galenstraat,198,Amsterdam Lelylaan Station,3388,Jan van Galenstraat,503,Amsterdam Sloterdijk Station,2281,Burg. De Vlugtlaan,1081,Amsterdam Sloterdijk Station,2850,Jan van Galenstraat,198.0,5745.0,27 - 65 years (%),42797.4
sunday,0,15.0,11.0,45.0,0.0,Frankendael_0,9.0,14.0,5.0,2.0,6.0,4.0,6.0,19.0,13.0,0.0,0.0,0.0,10.375,4.708333333333333,11.833333333333334,0.0,Amsterdam Muiderpoort Station,1589,Amstelstation,647,Amsterdam Muiderpoort Station,1895,Amstelstation,723,Amsterdam Muiderpoort Station,2688,Amstelstation,702,Amsterdam Muiderpoort Station,2160,Amstelstation,647.0,12580.0,27 - 65 years (%),43951.8
sunday,0,0.0,0.0,30.0,0.0,Frederik Hendrikbuurt_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,5.125,0.0,Amsterdam Centraal Station,2446,Jan van Galenstraat,1591,Amsterdam Centraal Station,2899,Jan van Galenstraat,1607,Amsterdam Centraal Station,3114,Jan van Galenstraat,1607,Amsterdam Centraal Station,3736,Jan van Galenstraat,1749.0,8198.0,27 - 65 years (%),42805.4
sunday,0,0.0,0.0,0.0,0.0,Ganzenhoef e.o._0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amsterdam Bijlmer ArenA Station,2500,Station Ganzenhoef,244,Amsterdam Bijlmer ArenA Station,2864,Station Ganzenhoef,300,Amsterdam Bijlmer ArenA Station,2761,Station Ganzenhoef,276,Amsterdam Bijlmer ArenA Station,2844,Station Ganzenhoef,244.0,7716.0,27 - 65 years (%),39520.1
sunday,0,0.0,0.0,0.0,0.0,Geerdinkhof/Kantershof_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amsterdam Bijlmer ArenA Station,3356,Kraaiennest station,821,Amsterdam Bijlmer ArenA Station,3817,Kraaiennest station,831,Amsterdam Bijlmer ArenA Station,3758,Kraaiennest station,1056,Amsterdam Bijlmer ArenA Station,3698,Kraaiennest station,821.0,7157.0,27 - 65 years (%),39520.1
sunday,0,0.0,0.0,0.0,0.0,Gein_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amsterdam Holendrecht Station,2632,Gein,0,Amsterdam Holendrecht Station,2717,Gein,0,Amsterdam Holendrecht Station,3418,Gein,0,Amsterdam Holendrecht Station,2724,Station Zuid,2383.0,11221.0,27 - 65 years (%),43934.6
