Feature,Importance
index_Aetsveld/Oostelijke Vechtoever,2.7997998674989978e-05
index_Chassébuurt,2.7509245744237128e-05
transit_Station RAI,2.702751261042375e-05
index_De Punt,2.6420243705590262e-05
index_Volewijck,2.6190647110144693e-05
walking_Amsterdam Duivendrecht Station,2.500292500401243e-05
index_Willemspark,2.485099039981931e-05
index_Westindische Buurt,2.302093613328344e-05
index_Vondelparkbuurt,2.284458271252537e-05
index_Nieuwe Pijp,2.2364442824091345e-05
transit_De Pijp,2.2317670495415865e-05
transit_Kraaiennest station,2.209886440047691e-05
index_Centrale Markt,2.1076255948114014e-05
driving_Amsterdam Bijlmer ArenA Station,1.985177629628706e-05
index_Oostelijke Eilanden/Kadijken,1.9779666466127892e-05
driving_Isolatorweg,1.892052908961575e-05
index_De Kolenkit,1.7871552877885908e-05
walking_Gaasperplas,1.7651465088773908e-05
index_Omval/Overamstel,1.670996157189231e-05
index_Tuindorp Buiksloot,1.658701226657989e-05
index_Van Lennepbuurt,1.6431448258923787e-05
index_Rijnbuurt,1.6408142873758115e-05
bicycling_Noorderpark,1.610605165291664e-05
index_Bellamybuurt,1.59591542244901e-05
transit_Henk Sneevlietweg,1.525059766049342e-05
transit_Gaasperplas,1.5099907158789216e-05
walking_Kraaiennest station,1.4938994006202508e-05
driving_Noord,1.493721144209262e-05
index_H-buurt,1.461632804278696e-05
index_Schinkelbuurt,1.4443624556878517e-05
bicycling_Heemstedestraat,1.3784913570351735e-05
transit_Noorderpark,1.2954530990209237e-05
index_Apollobuurt,1.2386284458446637e-05
index_Bijlmermuseum,1.0540975528046842e-05
index_IJplein/Vogelbuurt,9.80742689369954e-06
index_Osdorp-Midden,9.593343801420233e-06
bicycling_Amsterdam Bijlmer ArenA Station,9.5119742670517e-06
driving_Venserpolder,9.107122509799966e-06
index_Slotermeer-Noordoost,8.989206097984671e-06
index_Zuid Pijp,8.891394156793777e-06
index_Venserpolder,8.851759866727178e-06
index_Staatsliedenbuurt,8.651308291332449e-06
driving_Amsterdam Duivendrecht Station,8.520625958477197e-06
bicycling_Venserpolder,7.822371069050013e-06
