,Wijk,nearest_train_station_name_walking,nearest_train_station_distance_walking,nearest_metro_station_name_walking,nearest_metro_station_distance_walking,nearest_train_station_name_bicycling,nearest_train_station_distance_bicycling,nearest_metro_station_name_bicycling,nearest_metro_station_distance_bicycling,nearest_train_station_name_driving,nearest_train_station_distance_driving,nearest_metro_station_name_driving,nearest_metro_station_distance_driving,nearest_train_station_name_transit,nearest_train_station_distance_transit,nearest_metro_station_name_transit,nearest_metro_station_distance_transit
100,Weesp Binnenstad/Zuid,Amsterdam Holendrecht Station,6949,Gaasperplas,4528,Amsterdam Holendrecht Station,7108,Gaasperplas,4563,Amsterdam Bijlmer ArenA Station,8495,Gaasperplas,4557,Amsterdam Science Park Station,7860,Gaasperplas,4978.0
101,Weesp-Noordwest,Amsterdam Holendrecht Station,6949,Gaasperplas,4528,Amsterdam Holendrecht Station,7108,Gaasperplas,4563,Amsterdam Bijlmer ArenA Station,8495,Gaasperplas,4557,Amsterdam Science Park Station,7860,Gaasperplas,4978.0
102,Weesperbuurt/Plantage,Amsterdam Centraal Station,1873,Weesperplein,819,Amsterdam Centraal Station,1915,Weesperplein,930,Amsterdam Muiderpoort Station,2492,Waterlooplein,1020,Amsterdam Muiderpoort Station,2489,Weesperplein,819.0
103,Weesperzijde,Amsterdam Muiderpoort Station,1863,Wibautstraat,329,Amsterdam Muiderpoort Station,2099,Wibautstraat,445,Amsterdam Muiderpoort Station,2148,Wibautstraat,329,Amsterdam Muiderpoort Station,2421,Wibautstraat,329.0
104,Westindische Buurt,Amsterdam Lelylaan Station,1631,Postjesweg,660,Amsterdam Lelylaan Station,1920,Postjesweg,1031,Amsterdam Lelylaan Station,2142,Postjesweg,945,Amsterdam Lelylaan Station,1866,Postjesweg,660.0
105,Westlandgracht,Amsterdam Lelylaan Station,1320,Henk Sneevlietweg,619,Amsterdam Lelylaan Station,1473,Henk Sneevlietweg,628,Amsterdam Lelylaan Station,1392,Henk Sneevlietweg,812,Amsterdam Lelylaan Station,1979,Henk Sneevlietweg,619.0
106,Willemspark,Amsterdam Lelylaan Station,2153,Amstelveenseweg,1895,Amsterdam Lelylaan Station,2646,Amstelveenseweg,1977,Amsterdam Lelylaan Station,2909,Heemstedestraat,2345,Amsterdam Lelylaan Station,2479,Amstelveenseweg,2084.0
107,Zeeburgereiland/Bovendiep,Amsterdam Muiderpoort Station,2645,Wibautstraat,4372,Amsterdam Science Park Station,3673,Verrijn Stuartweg,5595,Amsterdam Muiderpoort Station,3977,Weesperplein,5785,Amsterdam Muiderpoort Station,2685,Wibautstraat,4889.0
108,Zuid Pijp,Amsterdam RAI Station,2450,De Pijp,0,Amsterdam Muiderpoort Station,2516,De Pijp,0,Amsterdam RAI Station,2404,De Pijp,0,Amsterdam Muiderpoort Station,2610,Wibautstraat,1275.0
109,Zuidas,Amsterdam Zuid Station,49,Station Zuid,112,Amsterdam Zuid Station,41,Station Zuid,112,Amsterdam Zuid Station,4,Station RAI,2043,Amsterdam Zuid Station,49,Station Zuid,112.0
